sorted by year,YYYY-MM-DD,Country,City,Theme/title/topic,lon,lat,Continent
2017,02/03/2017,Mexico,Queretaro,Brainhack Global Queretaro,-100.3898881,20.5887932,North America
2017,02/03/2017,USA,Urbana,Brainhack Global Urbana,-88.2072697,40.1105875,North America
2017,02/03/2017,USA,Seattle,Brainhack Global Seattle,-122.3320708,47.6062095,North America
2017,02/03/2017,USA,New York City,Brainhack Global NYC,-74.0059728,40.7127753,North America
2017,02/03/2017,USA,Madison,Brainhack Global Madison,-89.4012302,43.0730517,North America
2017,02/03/2017,USA,Iowa,Brainhack Global Iowa,-93.097702,41.8780025,North America
2017,02/03/2017,USA,"Hanover, USA",Brainhack Global Dartmouth,-72.120314,43.861077,North America
2017,02/03/2017,USA,Durham,Brainhack Global Durham,-78.898619,35.9940329,North America
2017,02/03/2017,USA,WashingtonDC,Brainhack Global Washington,-77.0368707,38.9071923,North America
2017,02/03/2017,USA,Boston,Brainhack Global Boston,-71.0588801,42.3600825,North America
2017,02/03/2017,USA,Bloomington,Brainhack Global Bloomington,-86.5263857,39.165325,North America
2017,02/03/2017,USA,Birmingham,Brainhack Global Birmingham,-86.8103567,33.5185892,North America
2017,02/03/2017,USA,Ann Arbor,Brainhack Global Ann Arbor,-83.7430378,42.2808256,North America
2017,02/03/2017,USA,Albuquerque,Brainhack Global Albuquerque,-106.650422,35.0843859,North America
2017,02/03/2017,Canada,Toronto,Brainhack Global Toronto,-79.3831843,43.653226,North America
2017,02/03/2017,Canada,Montreal,Brainhack Global MTL,-73.567256,45.5016889,North America
2017,02/03/2017,Canada,London,Brainhack Global London,-81.249725,42.983612,North America
2017,02/03/2017,Switzerland,Zurich,Brainhack Global Zurich,-96.8236665,33.0727467,Europe
2017,02/03/2017,UK,York,Brainhack Global York,-76.727745,39.9625984,Europe
2017,02/03/2017,UK,Coventry,Brainhack Global Warwick,-1.519693,52.406822,Europe
2017,02/03/2017,Netherlands,Rotterdam,Brainhack Global Rotterdam,4.4777326,51.9244201,Europe
2017,02/03/2017,France,Paris,Brainhack Global Paris,2.3522219,48.856614,Europe
2017,02/03/2017,Germany,Munich,Brainhack Global Munich,11.5819805,48.1351253,Europe
2017,02/03/2017,Germany,Leipzig,Brainhack Global Leipzig,12.3730747,51.3396955,Europe
2017,02/03/2017,UK,Cambridge,Brainhack Global Cambridge,0.1149085,52.2042666,Europe
2017,02/03/2017,Spain,Bilbao,Brainhack Global Bilbao,-2.9349852,43.2630126,Europe
2017,02/03/2017,Netherlands,Amsterdam,Brainhack Global Amsterdam,4.9041389,52.3675734,Europe
2017,02/03/2017,Japan,Wako,Brainhack Global Wako,139.6058063,35.7813326,Asia
2017,02/03/2017,Singapore,Singapore,Brainhack Global Singapore,103.819836,1.352083,Asia
2017,02/03/2017,China,Beijing,Brainhack Global Beijing,116.4073963,39.9041999,Asia
2017,03/03/2017,Sweden,Stockholm,Brainhack Global Stockholm,18.0685808,59.3293235,Europe
2017,03/03/2017,Chile,Valparaíso,Brainhack Global Valparaíso,-71.6126885,-33.047238,South America
2017,03/03/2017,Brazil,Porto Alegre,Brainhack Global Porto Alegre,-51.2176584,-30.0346471,South America
2017,03/03/2017,USA,Miami,Brainhack Global Miami,-80.1917902,25.7616798,North America
2017,03/03/2017,USA,San Francisco,Brainhack Global San Francisco,-122.4194155,37.7749295,North America
2017,03/03/2017,USA,St. Louis,Brainhack Global St. Louis,-90.1994042,38.6270025,North America
2017,04/03/2017,USA,Eugene,Brainhack Global Eugene,-123.0867536,44.0520691,North America
2017,12/04/2017,Belgium,Ghent,Brainhack Ghent,3.7174243,51.0543422,Europe
2017,09/05/2017,France,Paris,Brainhack: Brain Lesions,2.3522219,48.856614,Europe
2017,22/06/2017,Canada,Vancouver,OHBM hackathon 2017,-123.1207,49.2827,North America
2017,11/08/2017,Canada,Toronto,Back to the BrainHack,-79.3831843,43.653226,North America
2017,24/08/2017,Canada,Montreal,Deep Brainhack: Neurosci + DeepLearning,-73.567256,45.5016889,North America
2017,25/09/2017,UK,London,Brainhack: Clinical Neuroanatomy,-0.1277583,51.5073509,Europe
2017,08/11/2017,USA,WashingtonDC,SfN Brainhack DC: NaturalisticViewing,-77.0368707,38.9071923,North America
2017,18/11/2017,Poland,Warsaw,AoN Brainhack Warsaw,21.0122287,52.2296756,Europe
2017,18/12/2017,Germany,Leipzig,Brainhack Gradients,12.3730747,51.3396955,Europe
2018,19/02/2018,France,Paris,Brainhack Anatomy,2.3522219,48.856614,Europe
2018,22/03/2018,USA,Atlanta,Brainhack Global Atlanta,-84.3879824,33.7489954,North America
2018,13/04/2018,China,Beijing,Brainhack Global Beijing,116.4073963,39.9041999,Asia
2018,25/04/2018,France,Rennes,Brainhack Global Rennes,-1.6777926,48.117266,Europe
2018,26/04/2018,Canada,Montreal,Brainhack Global MTL,-73.567256,45.5016889,North America
2018,02/05/2018,India,Hyderabad,Brainhack Global Hyderabad,78.486671,17.385044,Asia
2018,02/05/2018,Ireland,Dublin,Brainhack Global Dublin,-6.2603097,53.3498053,Europe
2018,02/05/2018,USA,Ann Arbor,BRainhack Global Ann Arbor,-83.7430378,42.2808256,North America
2018,02/05/2018,USA,Los Angeles,Brainhack Global LA,-118.2436849,34.0522342,North America
2018,02/05/2018,USA,New York City,Brainhack Global NYC,-74.0059728,40.7127753,North America
2018,02/05/2018,UK,London,Brainhack Global London,-0.1277583,51.5073509,Europe
2018,02/05/2018,Spain,San Sebastian,Brainhack Global Donostia,-1.9812313,43.318334,Europe
2018,02/05/2018,Switzerland,Zurich,Brainhack Global Zurich,-96.8236665,33.0727467,Europe
2018,02/05/2018,Finland,Espoo,Brainhack Global Espoo,24.6559,60.2054911,Europe
2018,02/05/2018,France,Paris,Brainhack Global Paris,2.3522219,48.856614,Europe
2018,02/05/2018,USA,Baltimore,BHG Baltimore: Whole Brain Vol Registration,-76.6121893,39.2903848,North America
2018,02/05/2018,USA,Bethesda,Brainhack Global Bethesda,-84.0840795,33.9214924,North America
2018,02/05/2018,USA,Bloomington,Brainhack Global Bloomington,-86.5263857,39.165325,North America
2018,02/05/2018,USA,Boston, Brainhack Global Boston,-71.0588801,42.3600825,North America
2018,02/05/2018,USA,Detroit,Brainhack Global Detroit,-83.0457538,42.331427,North America
2018,02/05/2018,Canada,London,Brainhack Global Western,-81.249725,42.983612,North America
2018,03/05/2018,Germany,Leipzig,Brainhack Global Leipzig,12.3730747,51.3396955,Europe
2018,03/05/2018,Spain,Madrid,Brainhack Global Madrid,-3.7037902,40.4167754,Europe
